Gene,Gene name,Tissue,Cell type,Level,Reliability
ENSG00000035499,DEPDC1B,adipose tissue,adipocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,adrenal gland,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,appendix,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,appendix,lymphoid tissue,Low,Approved
ENSG00000035499,DEPDC1B,bone marrow,hematopoietic cells,Low,Approved
ENSG00000035499,DEPDC1B,breast,adipocytes,Low,Approved
ENSG00000035499,DEPDC1B,breast,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,breast,myoepithelial cells,Low,Approved
ENSG00000035499,DEPDC1B,bronchus,respiratory epithelial cells,Low,Approved
ENSG00000035499,DEPDC1B,caudate,glial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,caudate,neuronal cells,Low,Approved
ENSG00000035499,DEPDC1B,cerebellum,cells in granular layer,Not detected,Approved
ENSG00000035499,DEPDC1B,cerebellum,cells in molecular layer,Not detected,Approved
ENSG00000035499,DEPDC1B,cerebellum,Purkinje cells,Not detected,Approved
ENSG00000035499,DEPDC1B,cerebral cortex,endothelial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,cerebral cortex,glial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,cerebral cortex,neuronal cells,Low,Approved
ENSG00000035499,DEPDC1B,cerebral cortex,neuropil,Not detected,Approved
ENSG00000035499,DEPDC1B,cervix,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,cervix,squamous epithelial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,colon,endothelial cells,Low,Approved
ENSG00000035499,DEPDC1B,colon,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,colon,peripheral nerve/ganglion,Not detected,Approved
ENSG00000035499,DEPDC1B,duodenum,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,endometrium 1,cells in endometrial stroma,Not detected,Approved
ENSG00000035499,DEPDC1B,endometrium 1,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,endometrium 2,cells in endometrial stroma,Not detected,Approved
ENSG00000035499,DEPDC1B,endometrium 2,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,epididymis,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,esophagus,squamous epithelial cells,Low,Approved
ENSG00000035499,DEPDC1B,fallopian tube,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,gallbladder,glandular cells,High,Approved
ENSG00000035499,DEPDC1B,heart muscle,cardiomyocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,hippocampus,glial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,hippocampus,neuronal cells,Not detected,Approved
ENSG00000035499,DEPDC1B,kidney,cells in glomeruli,Not detected,Approved
ENSG00000035499,DEPDC1B,kidney,cells in tubules,Low,Approved
ENSG00000035499,DEPDC1B,liver,cholangiocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,liver,hepatocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,lung,alveolar cells,Low,Approved
ENSG00000035499,DEPDC1B,lung,macrophages,Low,Approved
ENSG00000035499,DEPDC1B,lymph node,germinal center cells,Not detected,Approved
ENSG00000035499,DEPDC1B,lymph node,non-germinal center cells,Medium,Approved
ENSG00000035499,DEPDC1B,nasopharynx,respiratory epithelial cells,Low,Approved
ENSG00000035499,DEPDC1B,oral mucosa,squamous epithelial cells,Not detected,Approved
ENSG00000035499,DEPDC1B,ovary,follicle cells,Not detected,Approved
ENSG00000035499,DEPDC1B,ovary,ovarian stroma cells,Not detected,Approved
ENSG00000035499,DEPDC1B,pancreas,exocrine glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,pancreas,pancreatic endocrine cells,Low,Approved
ENSG00000035499,DEPDC1B,parathyroid gland,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,placenta,decidual cells,Not detected,Approved
ENSG00000035499,DEPDC1B,placenta,trophoblastic cells,Not detected,Approved
ENSG00000035499,DEPDC1B,prostate,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,rectum,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,salivary gland,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,seminal vesicle,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,skeletal muscle,myocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,skin 1,fibroblasts,Not detected,Approved
ENSG00000035499,DEPDC1B,skin 1,keratinocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,skin 1,Langerhans,Not detected,Approved
ENSG00000035499,DEPDC1B,skin 1,melanocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,skin 2,epidermal cells,Not detected,Approved
ENSG00000035499,DEPDC1B,small intestine,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,smooth muscle,smooth muscle cells,Low,Approved
ENSG00000035499,DEPDC1B,soft tissue 1,fibroblasts,Not detected,Approved
ENSG00000035499,DEPDC1B,soft tissue 2,fibroblasts,Not detected,Approved
ENSG00000035499,DEPDC1B,soft tissue 2,peripheral nerve,Not detected,Approved
ENSG00000035499,DEPDC1B,spleen,cells in red pulp,Low,Approved
ENSG00000035499,DEPDC1B,spleen,cells in white pulp,Not detected,Approved
ENSG00000035499,DEPDC1B,stomach 1,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,stomach 2,glandular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,testis,elongated or late spermatids,High,Approved
ENSG00000035499,DEPDC1B,testis,Leydig cells,Low,Approved
ENSG00000035499,DEPDC1B,testis,pachytene spermatocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,testis,peritubular cells,Not detected,Approved
ENSG00000035499,DEPDC1B,testis,preleptotene spermatocytes,Not detected,Approved
ENSG00000035499,DEPDC1B,testis,round or early spermatids,High,Approved
ENSG00000035499,DEPDC1B,testis,sertoli cells,Not detected,Approved
ENSG00000035499,DEPDC1B,testis,spermatogonia cells,Not detected,Approved
ENSG00000035499,DEPDC1B,thyroid gland,glandular cells,Low,Approved
ENSG00000035499,DEPDC1B,tonsil,germinal center cells,Medium,Approved
ENSG00000035499,DEPDC1B,tonsil,non-germinal center cells,Low,Approved
ENSG00000035499,DEPDC1B,tonsil,squamous epithelial cells,Low,Approved
ENSG00000035499,DEPDC1B,urinary bladder,urothelial cells,Low,Approved
ENSG00000035499,DEPDC1B,vagina,squamous epithelial cells,Not detected,Approved
ENSG00000099953,MMP11,adipose tissue,adipocytes,Low,Approved
ENSG00000099953,MMP11,adrenal gland,glandular cells,Low,Approved
ENSG00000099953,MMP11,appendix,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,appendix,lymphoid tissue,Not detected,Approved
ENSG00000099953,MMP11,bone marrow,hematopoietic cells,Not detected,Approved
ENSG00000099953,MMP11,breast,adipocytes,Not detected,Approved
ENSG00000099953,MMP11,breast,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,breast,myoepithelial cells,Not detected,Approved
ENSG00000099953,MMP11,bronchus,respiratory epithelial cells,Low,Approved
ENSG00000099953,MMP11,caudate,glial cells,Not detected,Approved
ENSG00000099953,MMP11,caudate,neuronal cells,Not detected,Approved
ENSG00000099953,MMP11,cerebellum,cells in granular layer,Not detected,Approved
ENSG00000099953,MMP11,cerebellum,cells in molecular layer,Not detected,Approved
ENSG00000099953,MMP11,cerebellum,Purkinje cells,Not detected,Approved
ENSG00000099953,MMP11,cerebral cortex,endothelial cells,Not detected,Approved
ENSG00000099953,MMP11,cerebral cortex,glial cells,Not detected,Approved
ENSG00000099953,MMP11,cerebral cortex,neuronal cells,Not detected,Approved
ENSG00000099953,MMP11,cerebral cortex,neuropil,Not detected,Approved
ENSG00000099953,MMP11,cervix,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,cervix,squamous epithelial cells,Low,Approved
ENSG00000099953,MMP11,colon,endothelial cells,Not detected,Approved
ENSG00000099953,MMP11,colon,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,colon,peripheral nerve/ganglion,Not detected,Approved
ENSG00000099953,MMP11,duodenum,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,endometrium 1,cells in endometrial stroma,Not detected,Approved
ENSG00000099953,MMP11,endometrium 1,glandular cells,Low,Approved
ENSG00000099953,MMP11,endometrium 2,cells in endometrial stroma,Not detected,Approved
ENSG00000099953,MMP11,endometrium 2,glandular cells,Low,Approved
ENSG00000099953,MMP11,epididymis,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,esophagus,squamous epithelial cells,Not detected,Approved
ENSG00000099953,MMP11,fallopian tube,glandular cells,Low,Approved
ENSG00000099953,MMP11,gallbladder,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,heart muscle,cardiomyocytes,Low,Approved
ENSG00000099953,MMP11,hippocampus,glial cells,Not detected,Approved
ENSG00000099953,MMP11,hippocampus,neuronal cells,Not detected,Approved
ENSG00000099953,MMP11,kidney,cells in glomeruli,Not detected,Approved
ENSG00000099953,MMP11,kidney,cells in tubules,Low,Approved
ENSG00000099953,MMP11,liver,cholangiocytes,Not detected,Approved
ENSG00000099953,MMP11,liver,hepatocytes,Not detected,Approved
ENSG00000099953,MMP11,lung,alveolar cells,Not detected,Approved
ENSG00000099953,MMP11,lung,macrophages,Not detected,Approved
ENSG00000099953,MMP11,lymph node,germinal center cells,Not detected,Approved
ENSG00000099953,MMP11,lymph node,non-germinal center cells,Not detected,Approved
ENSG00000099953,MMP11,nasopharynx,respiratory epithelial cells,Low,Approved
ENSG00000099953,MMP11,oral mucosa,squamous epithelial cells,Not detected,Approved
ENSG00000099953,MMP11,ovary,follicle cells,Not detected,Approved
ENSG00000099953,MMP11,ovary,ovarian stroma cells,Not detected,Approved
ENSG00000099953,MMP11,pancreas,exocrine glandular cells,Not detected,Approved
ENSG00000099953,MMP11,pancreas,pancreatic endocrine cells,Not detected,Approved
ENSG00000099953,MMP11,parathyroid gland,glandular cells,Low,Approved
ENSG00000099953,MMP11,placenta,decidual cells,Medium,Approved
ENSG00000099953,MMP11,placenta,trophoblastic cells,High,Approved
ENSG00000099953,MMP11,prostate,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,rectum,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,salivary gland,glandular cells,Low,Approved
ENSG00000099953,MMP11,seminal vesicle,glandular cells,Not detected,Approved
ENSG00000099953,MMP11,skeletal muscle,myocytes,Not detected,Approved
ENSG00000099953,MMP11,skin 1,fibroblasts,Not detected,Approved
ENSG00000099953,MMP11,skin 1,keratinocytes,Not detected,Approved
